,year,brewer_size,n_of_brewers,total_barrels,taxable_removals,total_shipped
76,2015,"60,001 to 100,000 Barrels",24,1887855.83,1583089.18,23158.0
77,2015,"30,001 to 60,000 Barrels",56,2453623.13,2185447.02,29356.0
78,2015,"15,001 to 30,000 Barrels",71,1509411.47,1294031.85,40755.0
79,2015,"7,501 to 15,000 Barrels",133,1427754.07,1203851.81,25574.0
80,2015,"1,001 to 7,500 Barrels",851,2242859.09,1978577.42,6661.0
81,2015,"1 to 1,000 Barrels",2812,835835.99,733307.88,1892.0
82,2015,Zero Barrels,476,0.0,87811.22,
83,2015,Total,4504,191113018.04,174844004.57999998,6211297.0
84,2016,"6,000,001 Barrels and Over",14,131659359.17,119774531.97,5066076.0
85,2016,"2,000,000 to 6,000,000 Barrels",7,26452765.43,25147830.590000004,898290.0
86,2016,"1,000,001 to 1,999,999 Barrels",4,4999263.95,4994536.9,47250.0
87,2016,"500,001 to 1,000,000 Barrels",6,4293996.9,4014943.39,4748.0
88,2016,"100,001 to 500,000 Barrels",45,10469048.22,8618323.450000003,276289.0
89,2016,"60,001 to 100,000 Barrels",38,3052311.4800000004,2395062.26,48970.0
90,2016,"30,001 to 60,000 Barrels",53,2329947.35,2069205.9399999997,85136.0
91,2016,"15,001 to 30,000 Barrels",75,1577515.3899999997,1341223.91,37302.0
92,2016,"7,501 to 15,000 Barrels",148,1550640.4199999997,1351541.9599999995,11813.0
93,2016,"1,001 to 7,500 Barrels",935,2461722.990000003,2282897.140000001,13608.0
94,2016,"1 to 1,000 Barrels",3283,993337.9200000031,864097.2000000007,889.0
95,2016,Under 1 Barrel,488,4.43,102983.4,601.0
96,2016,Total,5096,189839913.65,172957178.11,6490978.0
97,2017,"6,000,001 Barrels and Over",15,135615117.47,124049346.77,5331930.0
98,2017,"2,000,000 to 6,000,000 Barrels",5,17288133.2,16092810.95,1015504.0
99,2017,"1,000,001 to 1,999,999 Barrels",4,4868564.08,4897090.56,4110.0
100,2017,"500,001 to 1,000,000 Barrels",10,6253029.02,5720117.89,94410.0
101,2017,"100,001 to 500,000 Barrels",40,8792844.25,6811548.01,235283.0
102,2017,"60,001 to 100,000 Barrels",41,3175932.85,2714928.75,47505.0
103,2017,"30,001 to 60,000 Barrels",53,2230144.53,1940812.97,27479.0
104,2017,"15,001 to 30,000 Barrels",99,2062332.14,2239986.46,38491.0
105,2017,"7,501 to 15,000 Barrels",152,1565335.71,1556842.26,6874.0
106,2017,"1,001 to 7,500 Barrels",1030,2656419.36,3626288.32,11294.0
107,2017,"1 to 1,000 Barrels",3646,1073977.86,1003361.14,790.0
108,2017,Under 1 Barrel,553,6.73,107494.1,503.0
109,2017,Total,5648,185581837.2,170760628.17999995,6814178.0
110,2018,"6,000,001 Barrels and Over",15,131336734.02,124471154.46999995,5749122.0
111,2018,"2,000,000 to 6,000,000 Barrels",5,17410932.97,17957039.46,734605.0
112,2018,"1,000,001 to 1,999,999 Barrels",5,6076447.34,6110085.42,3062.0
113,2018,"500,001 to 1,000,000 Barrels",10,5859956.25,4794122.05,111188.0
114,2018,"100,001 to 500,000 Barrels",42,8777286.219999999,7630983.189999999,170814.0
115,2018,"60,001 to 100,000 Barrels",40,3120044.87,4465192.179999999,72115.0
116,2018,"30,001 to 60,000 Barrels",53,2170405.47,2381170.5400000005,43487.0
117,2018,"15,001 to 30,000 Barrels",102,2124238.48,1871360.04,15417.0
118,2018,"7,501 to 15,000 Barrels",155,1618340.380000001,1406728.1200000006,3983.0
119,2018,"1,001 to 7,500 Barrels",1132,3058297.9499999965,2641714.490000001,2588.0
120,2018,"1 to 1,000 Barrels",4241,1238268.8999999994,1169873.6800000034,2299.0
121,2018,Under 1 Barrel,164,7.4700000000000015,142501.38999999993,274.0
122,2018,Total,5964,182790960.32,175041925.02999997,6908958.0
123,2019,"6,000,001 Barrels and Over",15,125788474.04,116321254.52,4208092.0
124,2019,"2,000,000 to 6,000,000 Barrels",6,18344022.83,18575155.74,495136.0
125,2019,"1,000,001 to 1,999,999 Barrels",5,6058176.3,6223929.3,2059.0
126,2019,"500,001 to 1,000,000 Barrels",12,7585071.9,5979731.09,137599.0
127,2019,"100,001 to 500,000 Barrels",42,8373874.82,7139034.687999999,80432.0
128,2019,"60,001 to 100,000 Barrels",33,2575065.63,2225453.43,67048.0
129,2019,"30,001 to 60,000 Barrels",64,2675606.37,2906735.837,39494.0
130,2019,"15,001 to 30,000 Barrels",102,2166277.84,1891960.763,23889.0
131,2019,"7,501 to 15,000 Barrels",159,1680544.7480000001,1484609.2040000001,3115.0
132,2019,"1,001 to 7,500 Barrels",1183,3151130.255,2901015.17,7509.0
133,2019,"1 to 1,000 Barrels",4577,1321901.272,1293960.317,2296.0
134,2019,Under 1 Barrel,28,18.3,19432.26,
135,2019,Under 1 Barrel,174,,114960.27,185.0
136,2019,Total,6400,179720164.305,167077232.589,5066858.0
