,data_type,material_type,year,month,type,month_current_year,month_prior_year,ytd_current,ytd_prior_year
51,Pounds of Materials Used,Grain Products,2008,5,Barley and barley products,3660048,3889536,21681701.0,18590243.0
52,Pounds of Materials Used,Grain Products,2008,5,Wheat and wheat products,1697578,1678710,7434255.0,7606438.0
53,Pounds of Materials Used,Total Grain products,2008,5,Total Grain products,556829993,553498059,2624021077.0,2524944564.0
54,Pounds of Materials Used,Non-Grain Products,2008,5,Sugar and syrups,89946309,104150281,408825249.0,486484317.0
55,Pounds of Materials Used,Non-Grain Products,2008,5,Hops (dry),7470130,5988145,26756443.0,20826563.0
56,Pounds of Materials Used,Non-Grain Products,2008,5,Hops (used as extracts),545875,604542,3343269.0,2387028.0
57,Pounds of Materials Used,Non-Grain Products,2008,5,Other,1804156,1131684,8060369.0,6471795.0
58,Pounds of Materials Used,Total Non-Grain products,2008,5,Total Non-Grain products,99766470,111874652,446985330.0,516169703.0
59,Pounds of Materials Used,Total Used,2008,5,Total Used,656596463,665372711,3071006407.0,3041114267.0
60,Pounds of Materials Used,Grain Products,2008,6,Malt and malt products,415161326,413722338,2345883022.0,2312371605.0
61,Pounds of Materials Used,Grain Products,2008,6,Corn and corn products,65645480,45077699,369024726.0,262301556.0
62,Pounds of Materials Used,Grain Products,2008,6,Rice and rice products,71779022,77818376,432865923.0,460803031.0
63,Pounds of Materials Used,Grain Products,2008,6,Barley and barley products,7751285,8535911,29472924.0,27143077.0
64,Pounds of Materials Used,Grain Products,2008,6,Wheat and wheat products,2258532,2163899,9715595.0,9773137.0
65,Pounds of Materials Used,Total Grain products,2008,6,Total Grain products,562595645,547318223,3186962190.0,3072392406.0
66,Pounds of Materials Used,Non-Grain Products,2008,6,Sugar and syrups,81012422,98870581,489837657.0,585354888.0
67,Pounds of Materials Used,Non-Grain Products,2008,6,Hops (dry),7361941,5902384,34129897.0,26730394.0
68,Pounds of Materials Used,Non-Grain Products,2008,6,Hops (used as extracts),513130,563477,3856399.0,2950505.0
